시도,시도별_평균_평당가격,시도별_평당가격_중앙값,시도별_총_거래금액,시도별_평균_거래금액,시도별_거래금액_중앙값,시도별_총_거래량
충청남도,958.6610215559087,848.3211115106249,541213405,21363.12485197758,19500.0,25334
서울특별시,5441.032691710968,4677.937593859503,10621090308,127364.94715257044,104800.0,83391
전북특별자치도,991.60203278291,838.6381842456608,480612822,23234.84757070341,17900.0,20685
경상북도,821.4483640227237,751.4523556500178,449024487,19184.981286049988,17000.0,23405
경기도,2555.9034473375655,2256.959622199928,8807926301,59115.97984482597,51500.0,148994
충청북도,1009.1891820239944,909.15,479684321,23122.88845504941,19000.0,20745
대구광역시,1545.9289609807513,1321.7401872985006,991554915,38338.74318524533,32500.0,25863
강원특별자치도,974.7511390481584,895.7660862804232,366351711,21800.161321035404,20000.0,16805
광주광역시,1266.1252058533173,1144.30459408433,506201533,30521.64805547181,27000.0,16585
인천광역시,1775.0173340296594,1598.1663610601768,1193106205,40852.80619756891,36500.0,29205
대전광역시,1514.41447651782,1439.6751653458284,564866489,36126.02257610642,33000.0,15636
경상남도,1099.3947258168218,972.467349099894,918364748,25869.42952112676,22000.0,35500
세종특별자치시,2179.78262933524,2239.837398373984,325731743,51777.419011285965,50200.0,6291
울산광역시,1412.901733569901,1324.049610043572,564097066,34272.86384348988,30900.0,16459
부산광역시,1843.4332072570876,1650.0812242495583,1592837068,44923.06365456751,37500.0,35457
제주특별자치도,1561.827088176495,1440.4380593499766,83701005,34374.12936344969,31000.0,2435
전라남도,823.207582904305,727.7566539923954,288205231,18767.02682815654,16000.0,15357
