시도,시도별_평균_평당가격,시도별_평당가격_중앙값,시도별_총_거래금액,시도별_평균_거래금액,시도별_거래금액_중앙값,시도별_총_거래량
부산광역시,996.3506042625344,958.0723846086146,1527333997,24528.393348108177,21500.0,62268
대구광역시,1054.067422609001,1011.36604306389,838057766,26005.640352510396,22800.0,32226
서울특별시,2023.0520791363097,1753.6731428787068,5719940262,47651.873288013594,40000.0,120036
인천광역시,1005.68506667261,975.4787600459244,1135330540,23117.642483354033,21500.0,49111
경기도,1188.587325811664,1124.5535461193945,5585870856,27834.300145004807,25000.0,200683
광주광역시,767.5808630984774,718.6107501476667,413750972,17246.091117502398,15000.0,23991
세종특별자치시,905.4991305906232,825.8447697450671,40997495,20146.18918918919,19500.0,2035
대전광역시,846.4356196367896,825.234899328859,413422629,19562.893531443715,18300.0,21133
울산광역시,943.2178456671402,925.9886628876292,468189288,22156.513558279305,19600.0,21131
경상남도,815.2523781544802,794.6548380324157,866370118,18136.280468913545,16800.0,47770
전북특별자치도,602.3810681685939,566.3758389261745,312062660,13494.601513513511,11800.0,23125
경상북도,637.8844383039611,624.017183025254,379302546,14000.020152806996,12000.0,27093
강원특별자치도,570.0615227813544,560.0071073205402,273966569,12373.7215572919,11360.0,22141
제주특별자치도,964.4096297480064,878.0148146700208,73097966,20384.262688232015,18675.0,3586
전라남도,538.2002406679264,498.7261146496816,228657200,11955.932026143792,10000.0,19125
충청남도,716.6215824987231,697.0481927710845,394086661,15018.546532012197,13300.0,26240
충청북도,681.4927775404013,663.5950773028007,248044529,14520.8130780939,12900.0,17082
