시도,시도별_평균_평당가격,시도별_평당가격_중앙값,시도별_총_거래금액,시도별_평균_거래금액,시도별_거래금액_중앙값,시도별_총_거래량
인천광역시,931.6817501333304,903.5106382978724,414820102,21403.441618079563,18700.0,19381
대구광역시,634.6486566938742,569.1425706167474,536490794,16251.879494713883,13000.0,33011
부산광역시,704.7110369606218,672.4785342548965,1034278786,17707.82745514313,15000.0,58408
서울특별시,2048.789785713693,1725.353535353535,2198698814,49749.94488064261,39200.0,44195
대전광역시,678.6603151755523,661.8228921337729,399118906,16474.136541874766,15000.0,24227
광주광역시,491.8433630023382,446.31,363281314,12594.255988906223,9700.0,28845
충청북도,478.4811314781534,447.85985985985985,241837966,10768.4551607445,8950.0,22458
경기도,1028.4250413985171,982.2233226046052,2381505573,23875.939375407288,20000.0,99745
울산광역시,670.0655334077043,629.5686013970163,322294799,17092.42676071277,13500.0,18856
세종특별자치시,637.7723070442457,707.6524400677123,29219243,16196.919623059866,20000.0,1804
충청남도,554.0081869140395,520.0968807790141,382215346,13344.576007262063,10744.0,28642
전라남도,392.7086414812376,356.8610795878044,162618257,8900.835084838533,7169.0,18270
경상북도,427.87471575231456,398.10548898072216,281120947,10289.932174231331,8400.0,27320
경상남도,596.0213144486048,585.2908564027543,754212479,14304.103760881522,12900.0,52727
강원특별자치도,448.76018712241057,408.3525287931898,198066251,10726.57736257785,8600.0,18465
전북특별자치도,475.634452950588,439.25337323598455,278370849,11485.36737219953,9500.0,24237
제주특별자치도,540.5660594655495,499.9680998121434,36848164,12666.952217256789,10800.0,2909
